% # iter+eval+sigma+axisratio+stddevratio+diag(D) (randomSeed=3, Sun Sep 13 20:06:28 2020)
0	0	3.0000e+00	1.00e+00	1	1	1
1	4096	2.9081e+00	1.00e+00	1.64285	1	1
2	8192	3.0230e+00	1.64e+00	1.80032	0.543727	0.893588
3	12288	3.0426e+00	1.80e+00	1.848	0.46532	0.838621
4	16384	2.9464e+00	1.85e+00	1.84665	0.425329	0.786298
5	20480	3.0292e+00	1.85e+00	1.90071	0.395351	0.730333
